distancia_km,tiempo_osrm_min,vehiculo,hora,dia_semana,lluvia,trafico,zonas_bloqueadas,tiempo_real_min
9.7,38,Bicicleta,18,2,0,1,0,53
3.4,13,Bicicleta,17,5,0,1,0,25
12.8,38,Camioneta,12,0,1,0,0,51
11.4,34,Camioneta,15,2,1,0,0,40
12,36,Camioneta,14,1,0,1,0,48
12.2,30,Moto,20,5,0,0,1,32
1.2,3,Moto,13,3,0,0,2,8
5.9,23,Bicicleta,13,0,0,0,0,24
3.6,10,Camioneta,15,4,0,0,2,18
4.8,14,Camioneta,12,3,0,0,0,15
6.1,24,Bicicleta,20,3,0,0,0,24
14.6,43,Camioneta,9,1,0,1,0,52
5.2,20,Bicicleta,12,6,0,0,2,24
12,48,Bicicleta,12,3,0,1,1,64
9.9,39,Bicicleta,22,5,0,1,0,52
3.5,8,Moto,18,2,0,1,0,20
14.4,57,Bicicleta,19,1,0,1,0,71
13.2,52,Bicicleta,11,5,0,0,3,64
5.6,22,Bicicleta,9,3,0,1,1,40
14.8,44,Camioneta,18,3,0,1,0,55
5.2,20,Bicicleta,20,5,0,1,1,31
10.5,42,Bicicleta,17,5,0,1,1,53
1.6,4,Camioneta,17,2,0,1,0,12
8.7,34,Bicicleta,19,6,1,1,3,58
1.7,4,Moto,15,0,0,0,1,8
11,27,Moto,16,5,0,0,1,31
9.1,22,Moto,17,1,0,1,0,36
7.1,17,Moto,18,4,0,1,1,27
4.3,12,Camioneta,22,1,0,0,0,12
9.3,23,Moto,18,2,0,1,0,29
12.1,36,Camioneta,11,6,0,0,2,39
3.2,8,Moto,8,1,0,1,0,19
8.6,34,Bicicleta,10,1,0,0,0,36
12.8,32,Moto,19,6,0,1,0,38
4.7,18,Bicicleta,15,0,0,1,3,43
13,39,Camioneta,10,3,0,0,0,40
9.6,38,Bicicleta,10,2,0,0,0,39
9.9,24,Moto,8,3,0,1,0,34
1.5,3,Moto,17,6,0,1,0,15
2.4,9,Bicicleta,9,0,1,1,0,27
4.4,11,Moto,16,2,1,1,0,32
